"Address","RoutingKey","Date","Price","FullMarketPrice","VATExclusive","DescriptionofProperty","PropertySizeDesc","OtherPropertiesInThisSale"
"APPLEBROOK FARM, BILBOA, CARLOW","R93","08/10/2010","254000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"5 AYLESBURY, OLD DUBLIN ROAD, CARLOW","R93","07/10/2010","182500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"GARRYOWEN, KILKENNY ROAD, CARLOW, CARLOW","R93","07/10/2010","545000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"49 THE FAIRWAYS, POLLERTON, CARLOW, CARLOW","R93","06/10/2010","180000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"42 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","01/10/2010","92511.01","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"51 RATHSILLAN, CARLOW ROAD, TULLOW, CARLOW","NA","01/10/2010","127754.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"53 RATHSILLAN, CARLOW ROAD, TULLOW, CARLOW","NA","01/10/2010","127754.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"45 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","30/09/2010","157709.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"9 THE GRANERY, KILLERIG, TULLOW, CARLOW","NA","30/09/2010","202500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"KILCARRIG, BAGNALSTOWN, CO CARLOW, CARLOW","R21","30/09/2010","200000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"3 KILLESHIN ROAD, CARLOW, CARLOW","R93","29/09/2010","272000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"34 ST. KILLIANS CRESCENT, CARLOW, CARLOW, CARLOW","R93","24/09/2010","126000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"34 THE PADDOCKS, BROWNSHILL ROAD, CARLOW, CARLOW","R93","24/09/2010","173000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"CLORUSKE UPPER, ROYAL OAK, BAGENALSTOWN, CARLOW","NA","24/09/2010","275000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"81 DOLMEN GARDENS, POLLERTON, CARLOW, CARLOW","NA","22/09/2010","157500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"KINLOUGH, CLOYDAGH, CARLOW","NA","17/09/2010","247500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
