"Date","Price","Url","Address","County"
"31/08/2016","170,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-7005027BF0B4E6938025804300477DF1?OpenDocument","KNOCKLISHEN, RATHVILLY, CARLOW","Carlow"
"30/08/2016","117,500.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-FE7F6ACB01E68FFE80258027004773A1?OpenDocument","36 WOLSELEY VILLAGE, TULLOW, CARLOW","Carlow"
"30/08/2016","55,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-67BF5E612FDBAFAF8025802E00477188?OpenDocument","6A, POLLERTON RD, CARLOW","Carlow"
"29/08/2016","215,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-B5DB969BDE19C0C480258027004772BD?OpenDocument","41 KYLEMORE HILL, RATHOE, CARLOW","Carlow"
"29/08/2016","60,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-219181C30F526C868025803500477AD6?OpenDocument","MILLWOOD, BUNCLODY, WEXFORD","Carlow"
"29/08/2016","269,500.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-12E35FEBB93C45068025802700477454?OpenDocument","THE OLD SCHOOLHOUSE, PARKNAKYLE, OLD LEIGHLIN","Carlow"
"26/08/2016","176,167.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-FF281BD8CB94063A8025802E00477346?OpenDocument","70 Milford Park, Carlow","Carlow"
"26/08/2016","136,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-6D22E3F26DAE433D802580200047750B?OpenDocument","9 COURT LAWNS, TULLOW, CARLOW","Carlow"
"26/08/2016","190,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-3D60FEF0E9C253EB8025802E004775A3?OpenDocument","BALLYREDMOND, CLONEGAL, CARLOW","Carlow"
"26/08/2016","154,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-6E3AEE20881C107880258020004774B0?OpenDocument","BROOKVILLE, CARRIGDUFF, BUNCLODY","Carlow"
"25/08/2016","98,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-2F7FA74755B3716A8025804A0047764F?OpenDocument","12 INIS GARDENS, POES HILL, LEIGHLINBRIDGE","Carlow"
"25/08/2016","295,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-7A8EB369A4F01FD1802580200047752C?OpenDocument","7 BARROWVILLE, KILKENNY RD, CARLOW","Carlow"
"25/08/2016","105,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-55DB0B33AE9A2F0B8025802E00477109?OpenDocument","THE COTTAGE, BALLASALLAGH, HACKETSTOWN","Carlow"
"24/08/2016","139,648.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-F61936F8BEC5E2CB8025803500477BC3?OpenDocument","16 RATH GLEN, KILLESHIN","Carlow"
"24/08/2016","71,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-1D255130EC24A31980258035004774AC?OpenDocument","24 MILLCOURT, TULLOW, CARLOW","Carlow"
"24/08/2016","100,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-D8C8152EDDD87E758025804A0047763B?OpenDocument","3 SLANEY VIEW HOUSE, TULLOWBEG, TULLOW","Carlow"
"23/08/2016","195,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-004CCC859AFAE59680258027004773FF?OpenDocument","80 PARK GATE, SHILLELAGH ROAD, TULLOW","Carlow"
"23/08/2016","235,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-FC9DED180C280C0F8025803500477A23?OpenDocument","KNOCKCLONAGAD HOUSE, KNOCKCLONAGAD, GARRYHILL","Carlow"
"19/08/2016","207,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-8C3134CE67B7DB4F8025802000477226?OpenDocument","57 THE MEADOWS, BULLOCK PARK, GREEN RD","Carlow"
"18/08/2016","83,500.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-D5A4EF53EAFA8CF68025803C0047770E?OpenDocument","74 BURRIN MANOR, TULLOW RD, CARLOW","Carlow"
"18/08/2016","85,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-4E8EAD3B4FE64DAA80258027004772DD?OpenDocument","8 KILLERIG COURT, TULLOW, CARLOW","Carlow"
"17/08/2016","122,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-7B489579785BC1F380258035004772CC?OpenDocument","15 INIS GARDENS LEIGHLINBRIDGE, LEIGHLINBRIDGE, CARLOW","Carlow"
"17/08/2016","340,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-E08254973C9931E780258019004774DB?OpenDocument","BALLYHACKET, TULLOW, CO CARLOW","Carlow"
"16/08/2016","207,048.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-5499825AA16CB4AA80258019004772E0?OpenDocument","22 Meadowbank, Palatine","Carlow"
"16/08/2016","147,500.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-76C4B997C80E33378025802000477224?OpenDocument","38 BROOKLAWNS, POLLERTON, CARLOW","Carlow"
"16/08/2016","260,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-07F54B65E9573C2C8025803500477818?OpenDocument","POPPY COTTAGE, LISNAVAGH, RATHVILLY","Carlow"
"12/08/2016","115,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-1F3EC9D17E90B62880258012004776E7?OpenDocument","1 THE OLD MILL, CHURCH ST, LEIGHLINBRIDGE","Carlow"
"12/08/2016","75,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-6BE7D81DCF063D408025803500477963?OpenDocument","13 CASTLEPARK, LEIGHLIN RD, GRAIGUECULLEN","Carlow"
"12/08/2016","275,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-E3B06D5E7EC1776880258035004772C3?OpenDocument","STONEFIELD LODGE, BALLYMARTIN, BORRIS","Carlow"
"11/08/2016","91,111.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-D559122075D0748F8025801900477345?OpenDocument","19 MILLBROOK, MILL LANE, CARLOW","Carlow"
"11/08/2016","220,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-CFE96B46F0A2F7B98025801900477206?OpenDocument","LIMA, KILLESHIN ROAD, CARLOW","Carlow"
"10/08/2016","80,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-B239FC226AB9FAEF80258019004771A9?OpenDocument","16 WOLSELEY VILLAGE, TULLOW, CARLOW","Carlow"
"10/08/2016","105,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-57361BE1276A056080258020004771B3?OpenDocument","3 HUNTINGDON COURT, GREENBANK RD, CARLOW","Carlow"
"09/08/2016","145,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-9449CD48A1D151F280258012004775F0?OpenDocument","21 THE MILL STREAM, BLACKBOG RD, CARLOW","Carlow"
"08/08/2016","88,000.00 **","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-0BCBCCC51CCAF0808025801200477359?OpenDocument","5 GRAIGOWAN, TULLOW, CARLOW","Carlow"
"05/08/2016","105,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-47E1689A170C1F5380258012004774C9?OpenDocument","4 NURNEY VILLAGE, NURNEY, CARLOW","Carlow"
"05/08/2016","115,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-B619C7641EA0340A802580120047731E?OpenDocument","4 RIVERSIDE, CARLOW","Carlow"
"05/08/2016","143,500.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-618C7E202DD3454D8025801200477410?OpenDocument","48 QUINAGH GREEN CARLOW, CO CARLOW","Carlow"
"04/08/2016","158,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-5FB02E65CC68C6338025800B00477574?OpenDocument","24 THE DRIVE, CHAPELSTOWN GATE, TULLOW ROAD","Carlow"
